"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bosnia and Herzegovina","BIH","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.8","","","41.8","","","40.7","","","","40.7","","","","","","","","","","","","",
"Belarus","BLR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1","39.4","39.1","38.9","38.8","37.6","35.9","36.5","37.1","38.4","36.8","37","37.5","36.3","36.1","36.2","36.7","35.4","35.4","35.5","35.5","35.4","34.8","","","",
"Belize","BLZ","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.3","65.4","","61.3","64.1","59.3","57.7","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2","","54.7","","","","","61.7","","60.5","64.1","60.6","62.3","","59.5","61.9","60.1","58.7","54.8","53.2","","50.6","50.6","51.9","52.3","51.1","49.4","49","47.5","47.3","49","46.7","","",
"Brazil","BRA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","62.3","62.7","63.4","62.9","60","62.8","63.7","65.5","67.3","64.6","","57.1","64.2","","63.8","63.9","63.8","63.8","63.3","","62.5","62.4","61.8","60.8","60.7","60.1","59.3","58.6","58.2","","57.5","58.1","57.5","56.9","56.7","58","57.8","58.3","57.8","54.7","57.5","56.9","",
"Barbados","BRB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.9","","","","45.1","","","","","46","","","","","44.4","","","","","37.3","",
"Botswana","BWA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","58.9","","","","","","","","64.3","","","","","","","","","69.4","","","","","","","65","","","","","","58.5","","","","","","","","",
"Central African Republic","CAF","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1","","","","","","","","","","","","","","","","60.8","","","","","","","","","","","","","49.2","","",
"Canada","CAN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","43","","41.2","","40.6","","40.1","","40","","39.8","39.9","","40.3","40.1","38.9","39","38.6","38.3","38.5","39","38.8","38.8","38.6","38.7","39.9","40.3","40.3","40.1","40.4","40.6","40.5","40.7","40.6","40.5","41","40.9","40.9","40.8","40.6","39.9","40.2","40.3","40.1","40.5","39.8","40.3","39.7","39.1","","","","",
"Central Europe and the Baltics","CEB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","43.2","","","","","","","","","","41","","","","","","","","40.9","","39.3","","39.2","","41.4","41.8","41.3","40.6","40.4","39.7","39.8","40.5","40.5","40.2","40.8","40.6","40.8","41.6","41.5","","","",
"Channel Islands","CHI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4","","","62.5","","60.1","","61.5","","60.1","","60.7","","58","","","56.8","","","53.8","","","53.8","","53.4","","53.6","","52.1","","52","","","53.3","","49.9","",
"China","CHN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.8","","","42.2","","","42.9","","","45.6","","","47.9","","","47.1","","","48.4","","49","48.1","47.8","46.3","45.8","45.4","45.3","45.9","45.4","45.3","44.7","43.6","","",
"Cote d'Ivoire","CIV","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","51.2","45.4","47.5","43.8","","","","45.8","","","47.4","","","46.2","","","","48.5","","","","","","49","","","","","","","47.7","","","44.7","","","43.3","","",
"Cameroon","CMR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.7","","","","","49","","","","","","49.1","","","","","","","51.7","","","","","","","47.9","","",
"Congo, Dem. Rep.","COD","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3","","","","","","","","48.4","","","","","","","","51.1","","","",
"Congo, Rep.","COG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2","","","","","","53.7","","","","","","","","","","","","",
"Colombia","COL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","59","","","","","","","","57.3","57.3","","55.8","56.6","","","","60.7","","","62.3","62.1","61.4","60.6","58.6","60","59","","","59.7","58.8","59.2","58.2","57.3","57.3","57.2","55.8","55.5","54.8","55.4","56.1","57.9","59.8","59.6","",
"Comoros","COM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.4","","","","","","","","","","50.3","","","","","","","","","",
"Cabo Verde","CPV","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58","","","","","","53.3","","","","","","","","48.7","","","","","","","","",
"Costa Rica","CRI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","51.4","","","","","39.6","","","49.9","49.6","50.8","50.3","50.5","51.5","50.3","51.1","50.6","50.8","52.6","52.1","56.2","56.7","54","53.4","52.8","54.7","55","54.1","55.9","53.6","53.9","53.6","54.2","53.9","53.9","54","54","53.3","53.7","54.4","54.1","52.7","52.1",
"Caribbean small states","CSS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39","39.3","40.1","40","40.6","40.8","40.4","41.3","42.7","45.1","43.6","42.1","41.4","40.2","41.4","40.1","40.6","40.1","","",
"Czechia","CZE","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","37.3","","","35.7","","","","","","36.2","","37","36.7","36.5","36.2","36.5","36.2","36.4","36.2","36.1","36.4","36","35.9","35.8","35.4","35.5","35.7","36.5","36.3","","",
"Germany","DEU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9","37.7","37.3","37.4","37.2","36.8","36.9","36.9","37.6","37.5","38.5","38.2","38.3","38.6","39.8","39.3","39.5","39.1","38.6","38.6","39","39.1","39.5","38.7","39.4","39.1","39","39.7","39.5","40","","","",
"Djibouti","DJI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.5","","","","","","","","","","50.3","49.9","","","","47.6","","","","","","",
"Dominica","DMA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.4","","","","","34.2","","","33.3","","","","","33.9","","","35.5","34.9","35.1","35.8","36.1","35.2","36.1","36.7","36.8","37.3","37.9","37.7","37.7","37.6","38","37.7","37.3","37","37.8","","",
"Dominican Republic","DOM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","52.4","","","55.5","","","56.2","","","","52.7","53.7","","","56.2","55.2","54.4","57.1","57.1","55.3","57","54.4","53.6","54.6","52.9","53.2","52","53.6","50.2","51.1","51.5","48.9","50.1","48.6","46.5","45.7","44","",
"Algeria","DZA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.6","","","","","","","42.6","","","","","","","","","","","","","","","","37.2","","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.4","","","","","","","57.9","56","","","54.8","62.5","60.7","","","58.1","58.3","57.5","57","58","54.6","53.5","53.9","51","51.1","52.2","50.6","51.3","50.5","50.1","51","51","52.3","51.3","50.9","49.8",
"Egypt, Arab Rep.","EGY","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1","","","","","40","","","","40.4","","","","","41.4","","","","40.8","","40.1","","38.6","","","41.5","","41","","41.3","","","","",
"Euro area","EMU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","41.4","","","","","41.7","","","","","39.6","","","42.1","41.5","42.2","42.5","41.7","41.1","40.9","41","","","39.1","40.3","39.6","40.4","41","41","41.5","41.7","41.8","41.6","41.9","41.9","42.1","41.7","41","41","40.6","41","40.4","","",
"Estonia","EST","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.2","41.2","41.3","41.7","39.3","40.1","39.6","39.7","40.2","40.7","42.4","42.1","40.4","39.1","38.3","38.3","38.9","39","39.9","","",
"Ethiopia","ETH","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.6","","","","39.4","","","","","39.3","","","","","","41.7","","","","","43","","","","","","","","",
"European Union","EUU","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.7","","","","33.3","","","","34.1","","","","","36.6","","","37.2","37.4","37.2","37.3","37.6","37.2","36.9","37","37.1","36.7","36.6","36.4","36.7","36.6","36.9","36.8","37.1","36.7","37.1","","",
"Fiji","FJI","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.4","","","","","","47.8","","","","","44.7","","","","","","39.4","","","","",
"France","FRA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","44.1","","","","","43","","","","41.3","","","","","40.7","","","","","","39.9","","","","","","39.4","39.4","39.3","40.1","40.2","40.1","39.7","39.8","39.2","38.5","38.3","40.9","41.2","40.8","41.8","41.4","41.3","40.9","40.6","40.9","40.2","40","40.8","39.2","38.8","39.4","","",
"Faroe Islands","FRO","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","","","","","","","","46","","","","","","","","","","",
"Gabon","GAB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","","","","","","","","","","","","44.4","","","","","","",
"United Kingdom","GBR","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","36.4","37.2","37.3","38.3","37.5","37.9","37.9","37","36.8","36.4","36.3","36.7","37.5","38.3","38.4","38.4","37.7","38.8","39.9","41.6","41.9","40.7","42.6","42","42","41.9","42.9","42.5","42.2","42.6","43.4","43.5","45.5","44","42.4","42","42.1","42.5","43","41.5","42.4","42.2","41.2","40.6","40.6","40.2","40.5","40.5","40.3","39.8","40.8","39.9","40","39.7","","",
"Georgia","GEO","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.6","46.1","46.6","45.9","46.2","45.8","43.9","43.2","42.6","43.8","43.5","44.6","45","44.7","45.5","45.7","45.3","44.9","44.3","43.4","43.7","44.5","43.2","42.9","41.5","41.5","40.6","",
"Ghana","GHA","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","43.4","","","45.5","","","","","","","46.2","","","","","","","48.6","","","","","","","48.3","","","","48.6","","","","","","","",
"Gibraltar","GIB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.3","","","52","","","","","","","","49.4","","","","","46.2","","","","","41.5","","","","","","38.2","","","","","",
"Gambia, The","GMB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.7","","","","","52.8","","","","","","","49.8","","","","","43.6","","","","","45.6","","","",
"Guinea-Bissau","GNB","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.8","","49.6","","","","","","","","","43.1","","","","","","","","56.7","","","","","","","","43","","","41.6","","",
"Equatorial Guinea","GNQ","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.9","","","","","40.8","","","40","40.7","41.7","42","41.1","40.9","40.9","41","41","42.1","42.2","41.8","41.8","41.3","41.1","40.1","40.1","40.5","40.1","","",
"Grenada","GRD","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.4","","","","","",
"Greenland","GRL","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2","","","62.1","","","","","","","","","53.9","","59.1","","","","","","58.9","","","","","","","","53.6","","","","","","","","","",
"Guam","GUM","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.1","","","","","","50.1","","","","","","","","","","","","","","","","","","","","","","","","","",
"High income","HIC","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.6","59.9","56.7","56.9","58","59.3","59.8","59.6","57.2","60.7","58.9","","58.9","59.4","61.7","61.7","62.9","60.8","60","59.2","55.4","57.1","56.7","57.4","54.3","54.5","53.8","53.9","53.7","53.1","52.2","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Income share held by highest 20%","SI.DST.05TH.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
