"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Azerbaijan","AZE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5260","5330","4150","3230","2610","2310","2360","2520","2790","3120","3320","3680","4030","4480","4860","5970","8140","10020","11640","12940","13800","13790","15090","16410","17060","14590","13660","13770","14550","16030","15070","19690","21040","22590",
"Burundi","BDI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","590","630","630","630","610","540","510","510","530","520","530","520","540","520","530","540","580","590","610","600","610","620","640","690","720","800","770","760","760","780","790","840","890","920",
"Belgium","BEL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18730","19720","20390","20800","22030","22920","23270","24310","24960","26030","28500","29340","30810","31530","32510","33590","35770","37310","38800","38450","40440","41010","43270","44750","45870","46870","49060","50900","53000","57170","56330","61490","67970","69270",
"Benin","BEN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1170","1230","1230","1290","1300","1370","1420","1490","1530","1590","1670","1740","1790","1830","1900","1940","2010","2120","2210","2210","2210","2260","2330","2500","2660","2710","2830","2880","2950","3130","3220","3430","3800","4090",
"Burkina Faso","BFA","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","620","620","640","640","680","760","790","840","890","900","940","960","1030","1070","1160","1240","1290","1350","1340","1410","1470","1530","1600","1590","1610","1800","1970","2010","2130","2300","2370","2530","2640",
"Bangladesh","BGD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","950","1000","1060","1120","1170","1230","1290","1350","1410","1470","1550","1640","1710","1800","1930","2090","2300","2520","2720","2850","3030","3250","3680","3940","4190","4440","4790","5050","5710","6290","6920","7830","8790","9510",
"Bulgaria","BGR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6950","6480","6800","6900","7190","7560","6630","5570","6060","5730","6270","6970","7950","8550","9310","10320","11130","11880","13650","13730","14640","15250","16110","16280","17420","17790","19400","20930","22140","24640","24930","28110","32940","35580",
"Bahrain","BHR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24900","28990","29790","32060","31610","33810","35130","34690","36210","36750","44560","44510","42620","43400","44290","46050","47010","48670","48520","43540","44890","46050","54930","54320","51750","45470","44920","47500","49270","53440","49770","51550","58970","59900",
"Bahamas, The","BHS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19510","18970","18660","18640","19290","22310","24470","21450","22280","24190","25410","26160","27070","27020","27690","29090","30260","31080","30970","29240","29430","29880","30290","29270","30080","30340","30410","32200","32370","33710","24740","27500","32730","35210",
"Bosnia and Herzegovina","BIH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","900","840","840","920","1130","1350","2120","2890","4090","4360","4540","4660","4960","5150","5910","6200","7080","7910","8900","9030","9230","9840","10200","10950","11260","11930","12920","13510","14770","16400","16280","18040","20820","22260",
