"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","6.47909924493651","6.60033484584478","6.72783328867945","6.85375213690564","6.98648163700524","7.12442789776871","7.26942373219249","7.42213118313201","7.58154779515578","7.74216459759446","7.88746031513188","7.99950537425987","8.11372021525513","8.22397885726267","8.33056097896443","8.4418013172836","8.54953396198095","8.67077193927825","8.78140736242408","8.86637563725056","8.96856085382475","9.0514948014042","9.12231246183655","9.22618097245397","9.35945510970044","9.48453724514679","9.62574088515483","9.76976945791268","9.92205430846915","10.081425303062","10.2481697590077","10.4386930413204","10.6483365913014","10.8217486656139","10.973288535425","11.1413539113979","11.2938128479531","11.4414462491404","11.5716156131774","11.6918271319872","11.8158982204926","11.9464290999256","12.062418117209","12.1669123617606","12.2731220137415","12.3790996390277","12.4968739381329","12.5249227915272","12.6713143371939","12.8223035262422","12.9800938516914","13.1481514784492","13.3137337357042","13.474837822928","13.6340621893544","13.7603976172185","13.8949366113141","14.0290320756528","14.1481181309266","14.2610465199665","14.3799394561514","14.5082214392453","14.6497227364124","14.812855078849",
"Afghanistan","AFG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","3.15828048632419","3.25978179271882","3.36200925396032","3.46534906028818","3.57011052627396","3.67485757285168","3.78158058403169","3.88433840261513","3.98220792155972","4.08067813403315","4.17967803376543","4.28178819462905","4.45859249300809","4.7142708269675","4.98556153931225","5.27834999249254","5.60025531684856","5.94552512616227","6.32033742790348","6.82789663732015","7.42502018518661","8.58916894469658","9.78251316622902","10.3275037456556","10.5672622551422","10.8512913267801","11.3860820866835","11.9296339298714","12.3180360344755","12.4886728142827","12.8620598622242","13.2258599827648","12.7365487725181","11.8241963620575","11.3596357199531","11.3014914710302","11.3446536239451","11.4095036708848","11.4799867390369","11.555127934056","11.9278191556451","12.3665896005222","12.2592836403693","12.0448471298329","12.0287874861199","11.9042390713181","11.7140103399555","11.7832321080028","11.8184823239934","11.6812466392663","11.6284636213668","11.4886416342973","11.3105109765257","11.2047091229137","11.0765158264889","11.0060563203267","11.0005005099046","10.965014786796","10.9184490700402","10.8675423982293","10.8053297220795","10.8393133550724","10.9857299525699","11.0690928841684",
"Africa Western and Central","AFW","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","4.86702968226714","5.11380195253003","5.36420520902344","5.61351638345207","5.84371636642828","6.06607561642759","6.29992294870079","6.54844873215333","6.80977686855665","7.09135734502498","7.37872980563495","7.67218995261313","8.00479985205876","8.32970547828588","8.64941050786934","8.97912024175133","9.30860169698723","9.62056623817636","9.92315841531199","10.177390933215","10.442161758702","10.7156896089867","10.9958298709838","11.3105480454091","11.5677085723518","11.8320698019337","12.0908288703817","12.3512110085243","12.6122601965714","12.8584658945123","13.1344680025938","13.4028719001608","13.4153129873194","13.4437317664897","13.5034709829452","13.5681442049978","13.8560006421476","13.9766951629333","14.1006893158814","14.2322330315977","14.4055406814147","14.5714295569478","14.7409264788217","14.9152984177055","15.0953744151155","15.1975516657038","15.2887902765493","15.3541239890962","15.4309661958268","15.5325437219834","15.6302045378968","15.72966524052","15.8382813045834","15.9565762224141","16.0764300173359","16.2056821783863","16.3456935835497","16.4966414132266","16.6673447189884","16.8261183269045","17.0020247217036","17.1919252346855","17.3941320213455","17.598407162864",
"Angola","AGO","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","4.19421850145289","4.3974412925347","4.69477859892311","5.01151928879948","5.34890185859305","5.70643035533806","6.08737686302291","6.49332740379102","6.92729881061582","7.38945657162041","7.84626061972516","8.15526091860896","8.32569139437231","8.4645633548135","8.60228987745577","8.74629015831922","8.90066298554956","9.05202895558232","9.1976569323933","9.34275086664593","9.48317111456881","9.61910624807438","9.75420857877282","9.88798503751466","10.227885520316","10.5803078395602","10.9525368733018","11.3542686517573","11.7801741984447","12.2183069328621","12.6767793187206","13.1568443840407","13.6680164511219","14.2074360330658","14.6457551998662","15.0827699543744","15.5276987684614","15.9807708009317","16.4564952237461","16.9551168409742","17.4673842684371","17.9845679351448","18.5087067821296","19.0317755880166","19.5515446073458","20.0716276226195","20.5993681127303","21.1287923162725","21.6659611083267","22.2077778793477","22.7538348109505","23.3047318826648","23.8720695239547","24.4572114094755","24.9969247925197","24.9423126055525","24.8961092852808","24.8565735706415","24.8399574977342","24.8481172506532","24.9013934715274","24.9964345108767","25.1227408850993","25.2853327026197",
"Albania","ALB","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","14.4766493437057","14.8229278027889","15.1803616089752","15.5666522304846","15.9976102226246","16.4549040355298","16.8518242655347","17.1167418489478","17.3923800101149","17.682206690741","17.9881258817948","18.3118243265458","18.6516174227952","18.9929404359873","19.3184234499957","19.5958029945401","19.7491763560012","19.888474389758","19.9490653249265","19.9619214806832","19.9874608602578","20.052597689434","20.1163532651137","20.1428195587753","20.1903495794905","20.2570040432221","20.3416300423228","20.4767395888927","20.6899441548331","20.8885122263064","21.168425285688","21.4577213306633","21.6949145190495","21.7906711623334","21.8133276401601","21.8418941887462","21.9084623616402","21.9435881215567","21.9590028676867","21.9770046105438","21.9937467865844","22.0127027381681","22.075832407489","22.1215828258844","22.0771369059136","22.0670552415346","22.0795975478093","21.9575309927628","22.0490234025794","22.1591793209297","22.3396761189783","22.0776122481489","21.920313667878","21.804233492015","21.7934048080276","21.9667931160734","22.2280911444432","22.4075532442517","22.6405909620906","22.7084045200924","22.7253735377062","22.8562208027866","22.8247927616343","22.8200744166258",
"United Arab Emirates","ARE","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","43.3947035801849","45.0666357463276","46.9029845597671","48.9143360203927","51.1578538686972","53.7255465192127","56.8176070262565","60.6739009460211","61.2267822040358","58.9059500959693","56.9945835776307","56.4044091968707","56.8200117398328","58.0264849369499","59.9602933629395","62.5788422712469","62.684577489259","60.5989222890727","59.3554222673656","58.8431047905176","59.0979619966526","59.0139609312137","58.478698869141","58.0364363456798","57.7168689643766","57.521421920574","56.881604870712","55.9051201719683","55.1915580322847","54.6970110919847","54.4101842779025","54.3107185893136","54.3915298879762","54.6348870186801","55.0513532412331","55.587387489516","55.3478566841857","54.4757419047991","53.899476421193","53.5803789885453","53.4978925599136","53.6030282603616","53.8800038212446","54.3211057382342","54.9384314672022","55.7247378767319","55.5682857199896","53.0822533373277","50.8233026542427","51.2339687535131","53.6700719871415","54.8790646203877","55.7878239825268","56.6840170018813","57.2275989398767","57.359624429043","57.7571922850289","59.1922998734174","61.7963921173899","62.6106564991687","64.3100155536016","64.4370240806621","62.430872050626","61.0987422345304",
"Argentina","ARG","Population in urban agglomerations of more than 1 million (% of total population)","EN.URB.MCTY.TL.ZS","41.0420461644228","41.3371654415873","41.5919240482566","41.8544042129233","42.1343292364765","42.4335975609232","42.7508138566439","43.0735321137596","43.3986435676372","43.7218357059219","44.038432843306","44.1593855319211","44.2141493977844","44.25233086075","44.2794178517864","44.3229828183056","44.3869012444619","44.4408795585167","44.4894246893299","44.5391554503726","44.5919218597898","44.5002397593392","44.3470502376171","44.1957206975172","44.0501893089239","43.9125868456356","43.7840378969479","43.6606605917557","43.5366280212049","43.4198152468282","43.3216140200204","43.2370294406664","43.108072360605","42.9915458849145","42.8818896077255","42.785373375892","42.7124075426131","42.6566572616381","42.6183973435138","42.5898585018346","42.5705643340955","42.5650910004233","42.6316869110749","42.7512399581077","42.8802427334189","43.0024854916092","43.1256887725453","43.2654760206366","43.3972090147701","43.5075303579153","43.6205780691441","43.5580098661272","43.4294961536319","43.3160323893961","43.1870591697378","43.0523077344874","42.95257758185","42.8903146689552","42.8536369214905","42.870875081562","42.9952979473232","43.2272919564566","43.4978368523683","43.7489867068455",
